Especie;Orden;Familia;CITES;IUCN;Distribucion
Erythrolamprus melanotus;Squamata;COLUBRIDAE;NA;Preocupación Menor (LC);Restringida
Helicops danieli;Squamata;COLUBRIDAE;NA;Preocupación Menor (LC);Endémica
Imantodes cenchoa;Squamata;COLUBRIDAE;NA;Preocupación Menor (LC);Restringida
Leptodeira ashmeadii;Squamata;COLUBRIDAE;NA;Preocupación Menor (LC);Restringida
Leptophis occidentalis;Squamata;COLUBRIDAE;NA;Preocupación Menor (LC);Restringida
Lygophis lineatus;Squamata;COLUBRIDAE;NA;Preocupación Menor (LC);Restringida
Mastigodryas pleii;Squamata;COLUBRIDAE;NA;Preocupación Menor (LC);Restringida
Oxybelis aeneus;Squamata;COLUBRIDAE;NA;Preocupación Menor (LC);Restringida
Phimophis guianensis;Squamata;COLUBRIDAE;NA;Preocupación Menor (LC);Restringida
Pseudoboa neuwiedii;Squamata;COLUBRIDAE;NA;Preocupación Menor (LC);Restringida
Tantilla melanocephala;Squamata;COLUBRIDAE;NA;Preocupación Menor (LC);Restringida
Tantilla semicincta;Squamata;COLUBRIDAE;NA;Preocupación Menor (LC);Restringida
Micrurus dissoleucus;Squamata;ELAPIDAE;NA;Preocupación Menor (LC);Restringida
Micrurus dumerilii;Squamata;ELAPIDAE;NA;Preocupación Menor (LC);Restringida
Hemidactylus frenatus;Squamata;GEKKONIDAE;NA;Preocupación Menor (LC);Cosmopolita
Bachia bicolor;Squamata;GYMNOPHTHALMIDAE;NA;Preocupación Menor (LC);Restringida
Gymnophthalmus speciosus;Squamata;GYMNOPHTHALMIDAE;NA;Preocupación Menor (LC);Restringida
Iguana iguana;Squamata;IGUANIDAE;Apéndice II;Preocupación Menor (LC);Restringida
Thecadactylus rapicauda;Squamata;PHYLLODACTYLIDAE;NA;Preocupación Menor (LC);Restringida
Marisora sp;Squamata;SCINCIDAE;NA;NA;Restringida
Gonatodes albogularis;Squamata;SPHAERODACTYLIDAE;NA;Preocupación Menor (LC);Restringida
Lepidoblepharis sanctaemartae;Squamata;SPHAERODACTYLIDAE;NA;Preocupación Menor (LC);Restringida
Ameiva bifrontata;Squamata;TEIIDAE;NA;Preocupación Menor (LC);Restringida
Ameiva praesignis;Squamata;TEIIDAE;NA;Preocupación Menor (LC);Restringida
Cnemidophorus lemniscatus;Squamata;TEIIDAE;NA;No Evaluado (NE);Restringida
Holcosus festivus;Squamata;TEIIDAE;NA;Preocupación Menor (LC);Restringida
Tupinambis aff. teguixin;Squamata;TEIIDAE;NA;Preocupación Menor (LC);Restringida
Crotalus durissus;Squamata;VIPERIDAE;NA;Preocupación Menor (LC);Restringida
Porthidium lansbergii;Squamata;VIPERIDAE;NA;Preocupación Menor (LC);Restringida
Mesoclemmys dahli;Testudines;CHELIDAE;NA;En Peligro Crítico (CR);Endémica
Trachemys callirostris;Testudines;EMYDIDAE;NA;No Evaluado (NE);Restringida
Kinosternon scorpioides;Testudines;KINOSTERNIDAE;Apéndice II;No Evaluado (NE);Restringida
Chelonoidis carbonarius;Testudines;TESTUDINIDAE;Apéndice II;No Evaluado (NE);Restringida
Sin registros;No aplica;No aplica;NA;NA;NA
Butorides virescens;Pelecaniformes;ARDEIDAE;NA;Preocupación Menor (LC);Restringida
Buteo brachyurus;Accipitriformes;ACCIPITRIDAE;Apéndice II;Preocupación Menor (LC);Restringida
Egretta tricolor;Pelecaniformes;ARDEIDAE;NA;Preocupación Menor (LC);Restringida
Phalacrocorax brasilianus;Suliformes;PHALACROCORACIDAE;NA;Preocupación Menor (LC);Restringida
Micrastur semitorquatus;Falconiformes;FALCONIDAE;Apéndice II;Preocupación Menor (LC);Restringida
Chauna chavaria;Anseriformes;ANHIMIDAE;NA;Preocupación Menor (LC);Casi endémica
Sublegatus arenarum;Passeriformes;TYRANNIDAE;NA;Preocupación Menor (LC);Restringida
Tachybaptus dominicus;Podicipediformes;PODICIPEDIDAE;NA;Preocupación Menor (LC);Restringida
Tolmomyias sulphurescens;Passeriformes;TYRANNIDAE;NA;Preocupación Menor (LC);Restringida
Phaetusa simplex;Charadriiformes;LARIDAE;NA;Preocupación Menor (LC);Restringida
Myiarchus crinitus;Passeriformes;TYRANNIDAE;NA;Preocupación Menor (LC);Restringida
